POS,Name,TM,TM,LG,Lev,B,T,VAL,OVAL,CID,DEF,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,CI,SO,GDP,RC,RC/27,ISO,wOBA,OPS,OPS+,BABIP,WPA,wRC,wRC+,wRAA,WAR,PI/PA,SB,CS,BatR,wSB,UBR,BsR,G,GS,W,L,SVO,SV,HLD,IP,BF,AB,HA,1B,2B,3B,HR,TB,R,ER,BB,IBB,K,HP,ERA,WHIP,SH,SF,WP,BK,CI,DP,RA,GF,pLi,QS,CG,SHO,PPG,PI,GB,FB,GO%,SB,CS,ERA+,FIP,FIP-,WPA,WAR,rWAR,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,ER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I
SP,Vic Aldridge,Regina,REG,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,3.0,18,15,6,3,0,1,2,14,6,6,2,0,3,1,18.00,2.67,0,0,1,0,0,0,0,0,0.84,0,0,0,72,72,2,4,0.33,1,0,21,12.91,337,-0.3,-0.2,-0.3,1,1,1,1,0,0,0,0,1.000,3.00,-0.0,1.018,0,0,3.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0
SP,Vic Aldridge,Kane'ohe Bay,KAN,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,6.0,24,21,5,2,1,1,1,11,3,3,3,0,2,0,4.50,1.33,0,0,0,0,0,0,0,0,0.99,1,0,0,84,84,9,5,0.64,2,0,85,6.24,163,-0.1,-0.1,0.1,1,1,5,4,1,0,0,0,1.000,7.50,0.2,1.018,0,0,6.0,0,0,0.00,1,1,1,1,1,1,0,0,0,0,0
SP,Vic Aldridge,Sarasota,-SS-,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,2,2,0,1,0,0,0,11.2,48,47,14,9,3,0,2,23,8,8,0,0,5,0,6.17,1.20,0,1,1,0,0,1,0,0,0.96,0,0,0,91,183,13,16,0.45,2,0,62,4.62,120,-0.4,0.0,-0.1,2,2,1,1,0,0,0,0,1.000,0.77,-0.1,1.018,0,0,11.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0
SP,Vic Aldridge,Brooklyn,BRO,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,16.0,68,63,16,10,4,0,2,26,7,4,4,0,17,0,2.25,1.25,0,1,1,0,0,2,0,0,1.10,1,0,0,88,265,12,16,0.43,3,1,170,3.49,91,-0.2,0.3,0.2,3,3,4,2,2,0,0,0,1.000,2.25,-0.5,.679,0,0,16.0,0,0,0.00,2,2,0,0,1,0,0,0,0,0,0
SP,Pete Alexander,Richmond Hill,RHO,,TRN,R,R,66,66,11007,64, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,999,0.00,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
SP,Pete Alexander,San Jose,SJA,,TRN,R,R,66,66,11007,64, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,3.2,19,15,5,2,3,0,0,8,5,5,3,0,0,0,12.27,2.18,0,1,1,0,0,0,0,0,0.94,0,0,0,68,68,8,3,0.73,1,0,31,5.70,149,-0.3,-0.0,-0.2,1,1,0,0,0,0,0,0,.000,0.00,-0.0,.000,0,0,3.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
SP,Matt Andriese,Federal Way,FW,,TRN,R,R,52,52,16616,61, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,999,0.00,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
SP,Johnny Beazley,Regina,REG,,TRN,R,R,88,88,13732,53, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,999,0.00,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
SP,Vern Bickford,Richmond Hill,RHO,,TRN,R,R,67,67,13018,44, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,5.0,21,18,5,3,1,0,1,9,2,2,3,0,2,0,3.60,1.60,0,0,0,0,0,1,0,0,0.95,0,0,0,78,78,4,7,0.36,1,1,106,6.84,179,0.0,-0.1,0.1,1,1,1,0,1,0,0,0,1.000,1.80,-0.1,.000,0,0,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
SP,Vern Bickford,Burlington,BUR,,TRN,R,R,67,67,13018,44, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,999,0.00,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
